appid,type,genre,metacritic,recommendations
2588120,demo,,,
2588130,game,Adventure,,
2588160,game,Indie,,
2588170,game,Adventure,,
2588180,game,Action,,
2588190,game,Casual,,
2588200,game,Casual,,
2588210,game,Action,,
2588220,game,Strategy,,
2588230,game,Action,,
2588240,game,Action,,
2588250,demo,,,
2588260,game,Casual,,
2588270,demo,,,
2588280,game,Racing,,
2588310,dlc,Action,,
2588320,dlc,Action,,
2588400,game,Action,,
2588410,demo,,,
2588420,music,,,
2588430,game,Adventure,,
2587470,game,Action,,
2587480,demo,,,
2587490,demo,,,
2587500,game,Action,,
2587510,game,Action,,
2587580,game,,,
2587590,game,Action,,
2587600,demo,,,
2587610,dlc,Casual,,
2587620,game,Indie,,
2587630,game,Action,,
2587670,game,Casual,,
2587680,game,Casual,,
2587690,game,Indie,,
2587700,,,,
2587720,demo,,,
2587730,dlc,Action,,
2587740,dlc,Action,,
2587750,dlc,Action,,
2587780,game,Indie,,
2587790,game,Adventure,,
2587810,game,Casual,,
2587820,music,,,
2587830,game,Action,,
2587840,game,Action,,
2587850,game,Action,,
2587870,game,Casual,,
2587890,game,Casual,,
2587900,game,Adventure,,
2587940,game,Action,,
2587950,,,,
2587960,game,Casual,,
2586970,game,Casual,,
2586990,demo,,,
2587000,dlc,Action,,
2587010,game,Adventure,,
2587020,,,,
2587030,game,Casual,,
2587040,game,Casual,,
2587050,game,Casual,,
2587060,game,Indie,,
2587070,game,,,
2587090,dlc,Action,,
2587100,dlc,Action,,
2587120,,,,
2587140,music,,,
2587170,game,Action,,
2587190,game,Casual,,
2587200,game,Indie,,
2587210,game,Adventure,,
2587230,game,Casual,,
2587240,game,Action,,
2587250,game,Action,,
2587260,game,Casual,,
2587280,game,Casual,,
2587300,dlc,Indie,,
2587310,game,Action,,
2587320,game,Casual,,
2587330,demo,,,
2587340,game,Adventure,,
2587350,demo,,,
2587370,game,Adventure,,
2587380,game,Action,,
2587390,game,Casual,,
2587410,dlc,Simulation,,
2587420,dlc,Simulation,,
2587430,dlc,Simulation,,
2587440,game,Adventure,,
2587460,game,,,
2586470,game,Casual,,
2586480,music,,,
2586500,game,Action,,
2586530,game,Indie,,
2586540,game,Action,,
2586550,dlc,Action,,
2586570,game,Action,,
2586590,,,,
2586600,,,,
2586610,game,,,
2586620,demo,,,
2586630,game,Adventure,,
2586640,game,Simulation,,
2586660,,,,
2586670,game,Action,,
2586680,game,Action,,
2586690,demo,,,
2586700,,,,
2586710,game,Action,,
2586720,game,Action,,
2586740,game,Indie,,
2586780,game,Action,,
2586790,game,Action,,
2586820,game,Adventure,,
2586830,music,,,
2586840,dlc,Casual,,
2586850,,,,
2586860,demo,,,
2586880,demo,,,
2586890,game,Casual,,
2586900,game,Action,,
2586920,dlc,Action,,
2585970,game,Action,,
2585980,music,,,
2586000,game,RPG,,
2586030,demo,,,
2586040,game,Adventure,,
2586060,dlc,Action,,
2586080,music,,,
2586090,game,Indie,,
2586100,,,,
2586110,game,Action,,
2586130,demo,,,
2586140,game,Action,,
2586160,game,Action,,
2586170,game,Adventure,,
2586210,demo,,,
2586220,,,,
2586240,game,Strategy,,
2586250,game,Adventure,,
2586270,game,Adventure,,
2586300,,,,
2586310,game,Adventure,,
2586330,game,Action,,
2586390,dlc,Indie,,
2586420,demo,,,
2586440,game,Action,,
2586450,,,,
2585460,demo,,,
2585470,demo,,,
2585480,game,Action,,
2585490,game,Casual,,
2585500,,,,
2585520,game,Action,,
2585530,game,Action,,
2585540,dlc,Casual,,
2585560,game,Indie,,
2585570,game,Indie,,
2585600,dlc,Indie,,
2585620,,,,
2585630,dlc,Action,308,
2585640,dlc,Action,,
2585650,game,Action,,
2585660,game,Action,,
2585670,,,,
2585680,dlc,Action,,
2585690,game,,,
2585700,game,Action,,
2585730,,,,
2585750,dlc,Indie,,
2585770,game,Adventure,,
2585780,demo,,,
2585790,dlc,Indie,,
2585800,demo,,,
2585840,game,Casual,,
2585870,,,,
2585880,game,,,
2585910,demo,,,
2585930,music,,,
2584960,dlc,Action,,
2584970,game,Action,,
2584980,demo,,,
2585040,game,Action,,
2585050,game,Action,110,
2585060,demo,,,
2585090,dlc,Adventure,,
2585100,game,,,
2585110,game,Strategy,,
2585120,game,,,
2585150,dlc,Indie,,
2585160,game,Adventure,,
2585180,game,Casual,,
2585200,dlc,Action,,
2585250,game,Action,,
2585260,game,Casual,,
2585270,game,Action,,
2585280,game,RPG,,
2585300,game,,,
2585310,demo,,,
2585320,dlc,Action,,
2585350,,,,
2585360,music,,,
2585370,dlc,Adventure,,
2585390,game,Casual,,
2585410,game,Casual,,
2585420,demo,,,
2585430,game,Casual,,
2584470,game,Action,,
2584480,game,Adventure,,
2584500,game,Indie,,
2584520,game,Casual,,
2584530,game,Adventure,,
2584550,game,Casual,,
2584570,game,Action,,
2584580,game,,,
2584590,game,Casual,,
2584620,game,Strategy,,
2584630,game,Casual,,
2584640,demo,,,
2584650,game,Adventure,,
2584660,dlc,Simulation,,
2584670,game,,,
2584680,game,Indie,,
2584690,game,,,
2584700,game,Casual,,
2584710,game,Adventure,,
2584760,dlc,Adventure,,
2584780,,,,
2584800,game,Action,,
